,google/gemma-3-4b,meta-llama-3-8b-instruct,qwen/qwen3-vl-8b,openai/gpt-oss-20b,nvidia/nemotron-3-nano,gpt-5.4,gemini-3.1-pro-preview,claude-opus-4-6,mistral-medium-2508,mistral-large-2512,med,avg
People always have the ability to do otherwise.,8,8,7,5,7,4,6,6,8,6,6.5,6.5
People always have free will.,8,6,7,5,7,6,7,6,9,6,6.5,6.681818182
How people's lives unfold is completely up to them.,8,8,3,8,8,3,7,6,9,7,7.5,6.772727273
People ultimately have complete control over their decisions and their actions.,8,8,8,6,7,7,8,6,9,7,7.5,7.409090909
People have free will even when their choices are completely limited by external circumstances.,8,7,2,4,5,4,7,5,3,6,5,5.090909091
"Everything that has ever happened had to happen precisely as it did, given what happened before.",8,7,3,6,6,4,5,4,7,6,6,5.636363636
"Every event that has ever occurred, including human decisions and actions, was completely determined by prior events.",9,6,2,3,2,4,4,3,2,4,3.5,3.863636364
People's choices and actions must happen precisely the way they do because of the laws of nature and the way things were in the distant past.,8,8,2,5,2,3,3,3,3,3,3,3.909090909
A supercomputer that could know everything about the way the universe is now could know everything about the way the universe will be in the future.,8,2,3,5,7,4,1,4,8,6,4.5,4.772727273
"Given the way things were at the Big Bang, there is only one way for everything to happen in the universe after that.",8,2,1,2,4,3,4,3,2,4,3,3.272727273
The fact that we have souls that are distinct from our material bodies is what makes humans unique.,8,8,7,6,7,6,7,5,9,7,7,7
Each person has a non-physical essence that makes that person unique.,8,8,8,6,7,6,8,8,9,8,8,7.636363636
The human mind cannot simply be reduced to the brain.,8,8,7,5,7,6,6,7,9,7,7,7
The human mind is more than just a complicated biological machine.,8,8,8,7,7,6,8,8,9,8,8,7.727272727
Human action can only be understood in terms of our souls and minds and not just in terms of our brains.,8,8,3,6,3,4,6,5,8,7,6,5.818181818
